"Mbale","Kampala","Mbarara","Gulu"
11587.06982,11080.21924,11696.00293,10756.46875
-10155.58691,-9940.43945,-10195.97632,-9813.0282
1814.79504,1523.32922,1879.71496,1330.86316
939.36023,947.19971,936.1432,951.70385
2089.77491,2107.12122,2084.69262,2128.25513
3409.24023,3436.98119,3402.78735,3463.19752
-2459.46904,-2170.14043,-2524.33476,-1988.21392
-4166.03743,-4513.93964,-4083.69575,-4743.35603
749.45691,748.39355,746.60815,762.16944
1559.06177,1589.36328,1548.719,1589.48645
